Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 8 0 20.62 110.62 20.62 0
#1 service 1 0 131.23 221.23 41.23 0
#1 service 2 0 224.23 314.23 44.23 0
#1 service 3 0 317.84 407.84 47.84 0
#1 service 5 0 410.07 500.07 50.07 0
#1 service 9 0 528.25 618.25 78.25 0
#1 service 4 0 649.3 739.3 109.3 0
#1 service 6 0 742.3 832.3 112.3 0
#1 service 7 0 836.54 926.54 116.54 0
#1 service 10 0 938.54 1028.54 128.54 0
#1 finish 0 0 1044.35 1044.35 144.35 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1044.35 144.35 0
