Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 8 0 93.47 103.47 93.47 0
#1 service 6 0 109.8 119.8 99.8 0
#1 service 11 0 138.04 148.04 118.04 0
#1 service 10 0 157.26 167.26 127.26 0
#1 service 2 0 207.09 217.09 167.09 0
#1 service 4 0 222.19 232.19 172.19 0
#1 service 9 0 247.32 257.32 187.32 0
#1 service 1 0 291.69 301.69 221.69 0
#1 service 3 0 320.79 330.79 240.79 0
#1 service 5 0 337.19 347.19 247.19 0
#1 service 7 0 361.12 371.12 261.12 0
#1 finish 0 0 462.14 462.14 352.14 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  462.14 352.14 0
