Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 27 9.87 15.13 115.0 15.13 0
#1 service 5 0 134.1 224.1 34.24 0
#1 service 4 0 227.71 317.71 37.84 0
#1 service 1 0 324.78 414.78 44.91 0
#1 service 15 160.19 432.81 683.0 62.94 0
#1 service 18 0 685.0 775.0 64.94 0
#1 service 24 0.61 780.39 871.0 70.33 0
#1 service 29 0 876.0 966.0 75.33 0
#1 service 26 0 971.83 1061.83 81.16 0
#1 service 25 90.78 1067.22 1248.0 86.54 0
#1 service 13 188.23 1258.77 1537.0 97.31 0
#1 service 8 91.13 1551.87 1733.0 112.18 0
#1 service 22 0 1742.06 1832.06 121.24 0
#1 service 31 0 1837.06 1927.06 126.24 0
#1 service 34 0 1934.13 2024.13 133.31 0
#1 service 28 186.87 2029.13 2306.0 138.31 0
#1 service 20 0 2311.39 2401.39 143.69 0
#1 service 19 0 2405.39 2495.39 147.69 0
#1 service 7 0 2504.39 2594.39 156.69 0
#1 service 14 0 2601.6 2691.6 163.9 0
#1 service 33 0 2708.6 2798.6 180.9 2335.6
#1 service 21 0 2808.65 2898.65 190.95 0
#1 service 17 0 2901.65 2991.65 193.95 0
#1 service 32 0 3001.7 3091.7 204.0 2723.7
#1 service 23 0 3099.31 3189.31 211.62 2931.31
#1 service 11 0 3197.56 3287.56 219.86 150.56
#1 service 30 0 3327.0 3417.0 259.31 2104.0
#1 service 16 0 3424.08 3514.08 266.38 2011.08
#1 service 12 0 3517.08 3607.08 269.38 2011.08
#1 service 2 0 3623.63 3713.63 285.93 3254.63
#1 service 10 0 3731.66 3821.66 303.96 2026.66
#1 service 3 0 3838.63 3928.63 320.93 3280.63
#1 service 6 0 3940.29 4030.29 332.59 797.29
#1 service 9 0 4050.09 4140.09 352.39 3393.09
#1 finish 0 0 4165.39 4165.39 377.69 775.39
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   727.69  4165.39 377.69 27794.99
