Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 12 0 32.31 42.31 32.31 0
#1 service 8 0 49.02 59.02 39.02 0
#1 service 11 0 61.85 71.85 41.85 0
#1 service 7 0 75.85 85.85 45.85 0
#1 service 2 0 87.26 97.26 47.26 0
#1 service 3 0 100.87 110.87 50.87 0
#1 service 1 2.01 114.99 127.0 54.99 0
#1 service 4 0 128.0 138.0 55.99 0
#1 service 5 0 144.32 154.32 62.32 0
#1 service 6 0 161.32 171.32 69.32 0
#1 service 9 0 181.52 191.52 79.51 0
#1 service 10 0 197.61 207.61 85.6 0
#1 finish 0 0 240.26 240.26 118.25 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   2.01  240.26 118.25 0
