Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 3 1.68 6.32 18.0 6.32 0
#1 service 4 1.54 35.46 47.0 23.79 0
#1 service 6 9.84 50.16 70.0 26.95 0
#1 service 10 0 74.47 84.47 31.42 0
#1 service 9 0 87.63 97.63 34.59 0
#1 service 8 0 106.58 116.58 43.53 0
#1 service 5 0 125.8 135.8 52.75 0
#1 service 1 0 147.84 157.84 64.79 0
#1 service 2 0 164.91 174.91 71.86 67.91
#1 finish 7 0 181.24 191.24 78.19 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   13.05  191.24 78.19 67.91
