Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 3 0 33.97 43.97 33.97 0
#1 service 9 0 53.87 63.87 43.87 0
#1 service 10 0 75.87 85.87 55.87 0
#1 service 5 0 93.15 103.15 63.15 0
#1 service 8 0 110.22 120.22 70.22 0
#1 service 4 0 131.62 141.62 81.62 0
#1 service 1 0 151.62 161.62 91.62 0
#1 service 2 0 165.23 175.23 95.23 0
#1 service 7 0 187.39 197.39 107.39 0
#1 service 6 0 207.39 217.39 117.39 39.39
#1 finish 0 0 240.2 240.2 140.2 10.2
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  240.2 140.2 49.59
