Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 3 0 45.0 55.0 45.0 0
#1 service 2 0 57.0 67.0 47.0 0
#1 service 1 0 69.0 79.0 49.0 0
#1 service 5 17.72 86.28 114.0 56.28 0
#1 service 6 0 117.61 127.61 59.89 0
#1 service 7 0 137.8 147.8 70.08 42.8
#1 service 4 3.2 150.8 164.0 73.08 0
#1 service 8 0 206.43 216.43 115.51 124.43
#1 service 9 0 266.47 276.47 165.55 97.47
#1 service 10 0 316.72 326.72 205.8 106.72
#1 finish 0 0 345.95 345.95 225.03 105.95
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   20.92  345.95 225.03 477.36
