Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 6 0 37.36 47.36 37.36 0
#1 service 3 0 54.98 64.98 44.98 0
#1 service 12 0 89.82 99.82 69.82 0
#1 service 7 0 162.83 172.83 132.83 0
#1 service 8 0 177.93 187.93 137.93 0
#1 service 10 0 191.09 201.09 141.09 0
#1 service 9 295.5 254.5 560.0 194.5 0
#1 service 1 0 585.32 595.32 219.82 0
#1 service 2 0 615.71 625.71 240.22 0
#1 service 11 0 633.78 643.78 248.28 62.78
#1 service 5 0 662.88 672.88 267.38 0
#1 service 4 0 692.81 702.81 287.31 0
#1 finish 0 0 728.88 728.88 313.38 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   295.5  728.88 313.38 62.78
