Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 6 32.38 20.62 63.0 20.62 0
#1 service 2 0 82.65 92.65 40.26 0
#1 service 7 0 110.45 120.45 58.07 0
#1 service 8 0 130.45 140.45 68.07 0
#1 service 1 0 180.95 190.95 108.56 0
#1 service 10 0 206.76 216.76 124.38 0
#1 service 4 0 241.78 251.78 149.4 122.78
#1 service 5 0 260.72 270.72 158.34 70.72
#1 service 3 0 277.94 287.94 165.55 157.94
#1 service 9 0 356.05 366.05 233.67 251.05
#1 finish 0 0 408.99 408.99 276.61 168.99
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   32.38  408.99 276.61 771.49
