Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 0 12.04 22.04 12.04 0
#1 service 3 0 30.64 40.64 20.64 0
#1 service 2 2.14 49.86 62.0 29.86 0
#1 service 1 0.93 69.07 80.0 36.93 0
#1 service 4 1.24 94.76 106.0 51.7 0
#1 service 7 0 114.49 124.49 60.18 0
#1 service 8 0 128.09 138.09 63.79 0
#1 service 10 0 148.09 158.09 73.79 0
#1 service 6 0 173.9 183.9 89.6 13.9
#1 service 9 0 193.12 203.12 98.82 30.12
#1 finish 0 0 216.16 216.16 111.86 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   4.3  216.16 111.86 44.02
