Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 0 106.63 196.63 106.63 0
#1 service 1 0 232.68 322.68 142.68 0
#1 service 2 0 352.68 442.68 172.68 0
#1 service 3 61.71 446.29 598.0 176.29 0
#1 service 6 0 648.01 738.01 226.3 0
#1 service 4 0 740.25 830.25 228.53 0
#1 service 11 0 845.28 935.28 243.57 0
#1 service 10 0 936.28 1026.28 244.57 0
#1 service 8 0 1038.28 1128.28 256.57 0
#1 service 7 0 1129.28 1219.28 257.57 0
#1 service 5 0 1223.4 1313.4 261.69 0
#1 finish 0 0 1436.08 1436.08 384.36 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   61.71  1436.08 384.36 0
