Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 0 33.54 43.54 33.54 0
#1 service 4 2.39 50.61 63.0 40.61 0
#1 service 7 0 80.0 90.0 57.61 0
#1 service 6 0 102.73 112.73 70.34 0
#1 service 2 0 121.67 131.67 79.28 0
#1 service 1 0 138.88 148.88 86.5 22.88
#1 service 3 0 155.29 165.29 92.9 0
#1 service 10 0 220.3 230.3 147.91 50.3
#1 service 8 0 294.33 304.33 211.94 134.33
#1 service 9 0 311.03 321.03 218.65 158.03
#1 finish 0 0 338.24 338.24 235.85 108.24
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   2.39  338.24 235.85 473.78
