Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 7 0 19.24 109.24 19.24 0
#1 service 1 0 145.08 235.08 55.08 0
#1 service 9 0 267.84 357.84 87.84 0
#1 service 10 104.69 362.31 557.0 92.31 0
#1 service 11 0 561.0 651.0 96.31 0
#1 service 6 0 653.0 743.0 98.31 0
#1 service 12 0 744.0 834.0 99.31 0
#1 service 8 0 836.24 926.24 101.55 0
#1 service 2 0 955.92 1045.92 131.23 0
#1 service 3 0 1047.33 1137.33 132.64 0
#1 service 4 0 1139.33 1229.33 134.64 0
#1 service 5 0 1232.33 1322.33 137.64 0
#1 finish 0 0 1348.64 1348.64 163.95 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   104.69  1348.64 163.95 0
