Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 4 0 16.0 106.0 16.0 0
#1 service 2 146.17 108.83 345.0 18.83 0
#1 service 9 99.84 348.16 538.0 21.99 0
#1 service 6 0 541.16 631.16 25.15 0
#1 service 8 0 633.4 723.4 27.39 0
#1 service 5 1.37 725.63 817.0 29.63 0
#1 service 10 0 820.61 910.61 33.23 0
#1 service 7 0 912.61 1002.61 35.23 0
#1 service 1 0 1006.21 1096.21 38.84 0
#1 service 3 0 1097.21 1187.21 39.84 0
#1 finish 0 0 1202.34 1202.34 54.97 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   247.37  1202.34 54.97 0
