Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 8 4.76 19.24 34.0 19.24 0
#1 service 2 0 40.32 50.32 25.56 0
#1 service 1 0 58.39 68.39 33.62 0
#1 service 6 0 75.46 85.46 40.69 0
#1 service 10 0 98.46 108.46 53.69 0
#1 service 9 0 117.4 127.4 62.64 0
#1 service 4 0 140.13 150.13 75.37 0
#1 service 5 0 164.55 174.55 89.79 52.55
#1 service 7 0 179.02 189.02 94.26 56.02
#1 service 3 0 196.1 206.1 101.33 40.1
#1 finish 0 0 231.59 231.59 126.83 1.59
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   4.76  231.59 126.83 150.26
