Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 6 0 17.12 27.12 17.12 0
#1 service 3 0 33.52 43.52 23.52 0
#1 service 5 0 50.23 60.23 30.23 0
#1 service 10 0 69.45 79.45 39.45 0
#1 service 9 0 91.61 101.61 51.61 0
#1 service 7 0 113.02 123.02 63.02 8.02
#1 service 4 0 132.45 142.45 72.45 0
#1 service 2 0 183.68 193.68 113.68 1.68
#1 service 1 0 207.28 217.28 127.28 26.28
#1 service 8 0 258.88 268.88 168.88 95.88
#1 finish 0 0 281.91 281.91 181.91 41.91
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  281.91 181.91 173.77
