Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 0 57.01 67.01 57.01 0
#1 service 2 16.64 102.36 129.0 92.36 0
#1 service 3 5.93 136.07 152.0 99.44 0
#1 service 1 0 163.18 173.18 110.62 0
#1 service 4 0 196.95 206.95 134.39 77.95
#1 service 6 0 221.95 231.95 149.39 100.95
#1 service 10 0 237.34 247.34 154.77 170.34
#1 service 5 0 254.62 264.62 162.05 129.62
#1 service 7 0 283.82 293.82 181.26 113.82
#1 service 8 0 315.23 325.23 202.66 93.23
#1 finish 0 0 332.84 332.84 210.28 92.84
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   22.56  332.84 210.28 778.74
