Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 0 32.39 42.39 32.39 0
#1 service 3 0 45.39 55.39 35.39 0
#1 service 4 0 61.22 71.22 41.22 0
#1 service 8 14.4 76.6 101.0 46.6 0
#1 service 2 0 110.43 120.43 56.04 22.43
#1 service 6 0 122.43 132.43 58.04 0
#1 service 1 0 137.82 147.82 63.42 0
#1 service 9 0 162.82 172.82 78.42 0
#1 service 7 0 180.03 190.03 85.63 60.03
#1 service 10 0 198.09 208.09 93.7 0
#1 finish 0 0 235.02 235.02 120.62 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   14.4  235.02 120.62 82.46
