Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 0 25.0 115.0 25.0 0
#1 service 4 0 141.93 231.93 51.93 0
#1 service 3 0 236.93 326.93 56.93 0
#1 service 1 0 332.31 422.31 62.31 0
#1 service 2 0 427.7 517.7 67.7 0
#1 service 5 0 533.51 623.51 83.51 0
#1 service 6 0 626.51 716.51 86.51 0
#1 service 7 0 718.51 808.51 88.51 0
#1 service 8 0 811.51 901.51 91.51 0
#1 service 9 0 909.32 999.32 99.32 0
#1 finish 0 0 1015.87 1015.87 115.87 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1015.87 115.87 0
