Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 3 0 15.13 105.13 15.13 0
#1 service 2 0 106.13 196.13 16.13 0
#1 service 1 0 199.74 289.74 19.74 0
#1 service 7 0 304.5 394.5 34.5 0
#1 service 9 0 400.91 490.91 40.91 0
#1 service 8 0 492.91 582.91 42.91 0
#1 service 4 0 605.73 695.73 65.73 0
#1 service 5 0 698.73 788.73 68.73 0
#1 service 6 0 793.73 883.73 73.73 0
#1 service 10 0 898.6 988.6 88.6 0
#1 finish 0 0 998.8 998.8 98.8 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  998.8 98.8 0
