Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 6 0 143.54 153.54 143.54 0
#1 service 8 78.41 164.59 253.0 154.59 0
#1 service 7 0 255.24 265.24 156.83 0
#1 service 4 0 268.4 278.4 159.99 35.4
#1 service 5 0 281.23 291.23 162.82 35.23
#1 service 3 0 309.25 319.25 180.84 69.25
#1 service 1 0 329.25 339.25 190.84 144.25
#1 service 2 0 347.86 357.86 199.45 135.86
#1 service 11 0 408.79 418.79 250.38 167.79
#1 service 10 0 423.79 433.79 255.38 183.79
#1 service 9 0 492.21 502.21 313.8 261.21
#1 service 12 0 588.56 598.56 400.15 434.56
#1 finish 0 0 723.35 723.35 524.94 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   78.41  723.35 524.94 1467.34
