Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 11 74.09 189.91 274.0 189.91 0
#1 service 9 0 311.8 321.8 227.71 0
#1 service 10 0 350.87 360.87 256.78 0
#1 service 8 0 372.27 382.27 268.18 0
#1 service 6 0 408.52 418.52 294.43 43.52
#1 service 4 100.66 429.34 540.0 305.25 0
#1 service 2 0 550.0 560.0 315.25 145.0
#1 service 3 0 564.12 574.12 319.37 0
#1 service 1 0 584.89 594.89 330.14 50.89
#1 service 5 0 599.89 609.89 335.14 271.89
#1 service 7 0 669.12 679.12 394.37 69.12
#1 service 12 0 692.46 702.46 407.71 89.46
#1 finish 0 0 920.37 920.37 625.62 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   174.75  920.37 625.62 669.89
