Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 11 48.47 72.53 131.0 72.53 0
#1 service 7 0.95 200.05 211.0 141.58 0
#1 service 8 0 225.21 235.21 155.8 31.21
#1 service 5 0 248.21 258.21 168.8 31.21
#1 service 9 0 265.83 275.83 176.41 0
#1 service 4 0 277.83 287.83 178.41 112.83
#1 service 3 0 296.83 306.83 187.41 94.83
#1 service 2 0 308.83 318.83 189.41 118.83
#1 service 1 0 326.44 336.44 197.03 134.44
#1 service 6 0 351.48 361.48 212.06 195.48
#1 service 10 0 414.64 424.64 265.22 275.64
#1 finish 0 0 502.8 502.8 343.38 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   49.42  502.8 343.38 994.47
