Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 8 0 46.86 56.86 46.86 0
#1 service 10 0 95.19 105.19 85.19 0
#1 service 6 0 123.22 133.22 103.22 0
#1 service 9 0 169.27 179.27 139.27 0
#1 service 4 0 219.58 229.58 179.58 0
#1 service 2 0 233.58 243.58 183.58 0
#1 service 1 0 245.82 255.82 185.82 0
#1 service 3 0 260.06 270.06 190.06 0
#1 service 5 0 295.56 305.56 215.56 0
#1 service 7 0 311.39 321.39 221.39 0
#1 service 12 0 336.52 346.52 236.52 0
#1 service 11 0 384.53 394.53 274.53 0
#1 finish 0 0 409.83 409.83 289.83 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  409.83 289.83 0
