Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 0 57.07 147.07 57.07 0
#1 service 2 0 154.69 244.69 64.69 0
#1 service 6 0 255.73 345.73 75.73 0
#1 service 5 0 346.73 436.73 76.73 0
#1 service 9 0 441.83 531.83 81.83 0
#1 service 8 0 536.83 626.83 86.83 0
#1 service 4 0 632.91 722.91 92.91 0
#1 service 3 0 734.09 824.09 104.09 0
#1 service 7 0 847.12 937.12 127.12 0
#1 service 10 0 941.59 1031.59 131.59 0
#1 service 11 0 1032.59 1122.59 132.59 0
#1 finish 0 0 1170.67 1170.67 180.67 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1170.67 180.67 0
