Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 7 776.2 55.8 842.0 55.8 0
#1 service 3 0 879.64 889.64 93.45 0
#1 service 5 0 945.11 955.11 148.92 242.11
#1 service 9 0 962.39 972.39 156.2 420.39
#1 service 8 0 1035.68 1045.68 219.48 143.68
#1 service 2 0 1060.81 1070.81 234.61 253.81
#1 service 11 0 1085.84 1095.84 249.65 455.84
#1 service 4 0 1146.09 1156.09 299.9 500.09
#1 service 6 0 1284.51 1294.51 428.31 930.51
#1 service 10 0 1348.96 1358.96 482.76 990.96
#1 service 1 0 1508.97 1518.97 632.78 887.97
#1 finish 0 0 1604.68 1604.68 718.48 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   776.2  1604.68 718.48 4825.38
