Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 0 30.41 40.41 30.41 0
#1 service 5 7.1 48.9 66.0 38.9 0
#1 service 4 0 68.24 78.24 41.14 0
#1 service 7 9.94 81.06 101.0 43.96 0
#1 service 8 0.59 102.41 113.0 45.38 0
#1 service 6 0 153.16 163.16 85.54 2.16
#1 service 2 0 188.62 198.62 111.0 67.62
#1 service 3 0 200.85 210.85 113.23 67.85
#1 service 1 0 218.92 228.92 121.29 0
#1 service 10 66.84 237.16 314.0 129.54 0
#1 service 11 0 352.12 362.12 167.66 237.12
#1 finish 0 0 447.59 447.59 253.13 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   84.46  447.59 253.13 374.75
