TW_early TW_late TW_service_time
0.0 3390.0 0.0
303.0 463.0 90.0
209.0 369.0 90.0
398.0 558.0 90.0
116.0 276.0 90.0
22.0 182.0 90.0
2983.0 3143.0 90.0
2504.0 2664.0 90.0
1643.0 1803.0 90.0
497.0 657.0 90.0
1545.0 1705.0 90.0
2887.0 3047.0 90.0
1346.0 1506.0 90.0
1447.0 1607.0 90.0
2601.0 2761.0 90.0
593.0 753.0 90.0
1253.0 1413.0 90.0
2791.0 2951.0 90.0
685.0 845.0 90.0
2405.0 2565.0 90.0
2311.0 2471.0 90.0
2698.0 2858.0 90.0
1742.0 1902.0 90.0
8.0 168.0 90.0
781.0 941.0 90.0
1158.0 1318.0 90.0
971.0 1131.0 90.0
25.0 185.0 90.0
2216.0 2376.0 90.0
876.0 1036.0 90.0
1063.0 1223.0 90.0
1837.0 1997.0 90.0
118.0 278.0 90.0
213.0 373.0 90.0
1934.0 2094.0 90.0
