TW_early TW_late TW_service_time
0.0 3390.0 0.0
1736.0 1896.0 90.0
1641.0 1801.0 90.0
1546.0 1706.0 90.0
1832.0 1992.0 90.0
3119.0 3279.0 90.0
1451.0 1611.0 90.0
1925.0 2085.0 90.0
3097.0 3257.0 90.0
2900.0 3060.0 90.0
1261.0 1421.0 90.0
1355.0 1515.0 90.0
1167.0 1327.0 90.0
1073.0 1233.0 90.0
2802.0 2962.0 90.0
978.0 1138.0 90.0
2029.0 2189.0 90.0
311.0 471.0 90.0
881.0 1041.0 90.0
788.0 948.0 90.0
407.0 567.0 90.0
2703.0 2863.0 90.0
694.0 854.0 90.0
597.0 757.0 90.0
2131.0 2291.0 90.0
502.0 662.0 90.0
2608.0 2768.0 90.0
2226.0 2386.0 90.0
2513.0 2673.0 90.0
2414.0 2574.0 90.0
2321.0 2481.0 90.0
2119.0 2279.0 90.0
2026.0 2186.0 90.0
502.0 662.0 90.0
502.0 662.0 90.0
