Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 4 0 14.76 24.76 14.76 0
#1 service 6 0 43.87 53.87 33.87 0
#1 service 5 0.13 58.87 69.0 38.87 0
#1 service 8 0 75.0 85.0 44.87 0
#1 service 9 0 90.83 100.83 50.7 0
#1 service 2 0 112.23 122.23 62.1 0
#1 service 1 0 145.83 155.83 85.7 0
#1 service 7 0 190.32 200.32 120.19 0
#1 service 10 0 210.32 220.32 130.19 137.32
#1 service 3 0 263.33 273.33 173.2 93.33
#1 finish 0 0 287.47 287.47 187.34 47.47
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0.13  287.47 187.34 278.11
