Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 0 26.93 36.93 26.93 0
#1 service 2 35.05 54.95 100.0 44.95 0
#1 service 3 0 110.0 120.0 54.95 0
#1 service 4 0 133.04 143.04 67.99 0
#1 service 7 0 154.22 164.22 79.17 0
#1 service 8 0 174.85 184.85 89.8 0
#1 service 6 0 197.01 207.01 101.97 13.01
#1 service 5 0 232.98 242.98 127.93 127.98
#1 service 9 0 252.88 262.88 137.83 75.88
#1 service 10 0 289.78 299.78 164.74 208.78
#1 finish 0 0 351.26 351.26 216.21 111.26
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   35.05  351.26 216.21 536.91
