Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 11 0 90.01 180.01 90.01 0
#1 service 4 0 271.36 361.36 181.36 39.36
#1 service 6 0 376.49 466.49 196.49 0
#1 service 12 0 515.15 605.15 245.15 0
#1 service 10 0 620.71 710.71 260.71 0
#1 service 1 0 742.91 832.91 292.91 443.91
#1 service 8 0 834.32 924.32 294.32 0
#1 service 7 0 925.32 1015.32 295.32 261.32
#1 service 3 0 1018.15 1108.15 298.15 544.15
#1 service 2 0 1111.32 1201.32 301.32 726.32
#1 service 5 0 1270.5 1360.5 370.5 947.5
#1 service 9 0 1408.77 1498.77 418.77 1093.77
#1 finish 0 0 1692.38 1692.38 612.38 16.38
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1692.38 612.38 4072.7
