Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 0 5.0 15.0 5.0 0
#1 service 4 0 36.63 46.63 26.63 0
#1 service 3 22.03 59.97 92.0 39.97 0
#1 service 2 0 97.0 107.0 44.97 0
#1 service 7 0 114.21 124.21 52.19 0
#1 service 1 0 130.54 140.54 58.51 0
#1 service 8 0 145.01 155.01 62.98 3.01
#1 service 6 0 171.29 181.29 79.26 0
#1 service 9 0 192.06 202.06 90.03 0
#1 service 5 0 208.14 218.14 96.11 0
#1 finish 0 0 227.2 227.2 105.17 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   22.03  227.2 105.17 3.01
