Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 0 48.84 138.84 48.84 0
#1 service 4 0 144.67 234.67 54.67 0
#1 service 5 0 236.9 326.9 56.9 0
#1 service 3 0 337.72 427.72 67.72 0
#1 service 6 47.45 430.55 568.0 70.55 0
#1 service 11 0 570.24 660.24 72.78 0
#1 service 8 0 675.5 765.5 88.05 0
#1 service 7 0 768.33 858.33 90.88 405.33
#1 service 9 0 860.33 950.33 92.88 0
#1 service 1 0 958.39 1048.39 100.94 0
#1 service 2 0 1050.63 1140.63 103.18 0
#1 service 12 0 1147.34 1237.34 109.88 0
#1 finish 0 0 1272.69 1272.69 145.24 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   47.45  1272.69 145.24 405.33
