Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 12 0 23.41 113.41 23.41 0
#1 service 9 0 118.79 208.79 28.79 0
#1 service 5 0 213.27 303.27 33.27 0
#1 service 4 0 306.87 396.87 36.87 0
#1 service 8 0 401.0 491.0 41.0 0
#1 service 7 0 493.82 583.82 43.82 0
#1 service 3 0 587.82 677.82 47.82 0
#1 service 2 0 679.24 769.24 49.24 0
#1 service 6 0 777.84 867.84 57.84 0
#1 service 1 0 883.84 973.84 73.84 0
#1 service 10 0 993.26 1083.26 93.26 0
#1 service 11 0 1087.38 1177.38 97.38 0
#1 finish 0 0 1199.85 1199.85 119.85 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1199.85 119.85 0
