Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 0 21.1 31.1 21.1 0
#1 service 4 0 39.16 49.16 29.16 0
#1 service 9 0 57.22 67.22 37.22 0
#1 service 2 0 73.3 83.3 43.3 0
#1 service 1 0 95.34 105.34 55.34 0
#1 service 3 0 114.78 124.78 64.78 0
#1 service 10 0 136.78 146.78 76.78 0
#1 service 7 0 165.16 175.16 95.16 74.16
#1 service 8 0 180.99 190.99 100.99 75.99
#1 service 6 0 200.99 210.99 110.99 94.99
#1 finish 0 0 226.8 226.8 126.8 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  226.8 126.8 245.15
