Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 0 18.03 108.03 18.03 0
#1 service 10 0 113.03 203.03 23.03 0
#1 service 1 0 232.18 322.18 52.18 0
#1 service 4 0 342.77 432.77 72.77 0
#1 service 5 0 434.77 524.77 74.77 0
#1 service 2 0 528.38 618.38 78.38 0
#1 service 3 0 621.21 711.21 81.21 0
#1 service 6 0 714.81 804.81 84.81 0
#1 service 8 0 806.81 896.81 86.81 0
#1 service 7 0 898.81 988.81 88.81 0
#1 finish 0 0 998.81 998.81 98.81 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  998.81 98.81 0
