Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 4 0 20.62 110.62 20.62 0
#1 service 2 0 114.86 204.86 24.86 0
#1 service 6 0 209.1 299.1 29.1 0
#1 service 5 153.9 304.1 548.0 34.1 0
#1 service 7 0 550.83 640.83 36.93 0
#1 service 3 0 643.83 733.83 39.93 0
#1 service 1 0 738.83 828.83 44.93 0
#1 service 9 0 843.96 933.96 60.06 0
#1 service 8 0 955.15 1045.15 81.25 631.15
#1 service 10 0 1080.26 1170.26 116.37 763.26
#1 finish 0 0 1188.29 1188.29 134.39 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   153.9  1188.29 134.39 1394.42
