Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 2 59.94 35.06 185.0 35.06 0
#1 service 1 0 190.0 280.0 40.06 0
#1 service 3 0.61 285.39 376.0 45.44 0
#1 service 6 0 380.0 470.0 49.44 0
#1 service 4 0 472.0 562.0 51.44 0
#1 service 5 0 572.2 662.2 61.64 0
#1 service 8 0 673.38 763.38 72.82 0
#1 service 7 0 773.82 863.82 83.26 0
#1 service 9 0 879.97 969.97 99.42 467.97
#1 service 10 0 982.97 1072.97 112.42 0
#1 finish 0 0 1093.59 1093.59 133.03 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   60.56  1093.59 133.03 467.97
