Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 6 0 5.0 15.0 5.0 0
#1 service 2 1.46 23.54 35.0 13.54 0
#1 service 7 0 45.77 55.77 24.31 0
#1 service 8 0 72.26 82.26 40.81 0
#1 service 10 0 110.86 120.86 69.41 0
#1 service 1 0 129.81 139.81 78.35 0
#1 service 4 0 146.13 156.13 84.68 41.13
#1 service 9 0 182.21 192.21 110.75 0
#1 service 3 0 204.25 214.25 122.79 0
#1 service 5 0 220.33 230.33 128.88 10.33
#1 finish 0 0 239.39 239.39 137.93 9.39
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   1.46  239.39 137.93 60.85
