Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 2 10.74 21.26 42.0 21.26 0
#1 service 6 0 45.16 55.16 24.42 0
#1 service 3 14.37 59.63 84.0 28.89 0
#1 service 8 0 88.47 98.47 33.37 0
#1 service 4 0 105.18 115.18 40.08 0
#1 service 10 0 119.3 129.3 44.2 0
#1 service 5 0 136.01 146.01 50.91 0
#1 service 1 0 154.61 164.61 59.51 0
#1 service 7 0 175.24 185.24 70.14 0
#1 service 9 0 198.28 208.28 83.18 87.28
#1 finish 0 0 226.67 226.67 101.56 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   25.11  226.67 101.56 87.28
