Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 7 1146.77 55.23 1212.0 55.23 0
#1 service 1 227.65 1236.35 1474.0 79.58 0
#1 service 3 0 1477.61 1487.61 83.18 673.61
#1 service 2 0 1492.61 1502.61 88.18 0
#1 service 5 0 1516.53 1526.53 102.11 80.53
#1 service 11 0 1564.34 1574.34 139.91 220.34
#1 service 9 0 1599.57 1609.57 165.15 427.57
#1 service 8 0 1617.57 1627.57 173.15 46.57
#1 service 4 0 1660.59 1670.59 206.17 612.59
#1 service 6 0 1693.39 1703.39 228.97 291.39
#1 service 10 0 1724.49 1734.49 250.07 346.49
#1 finish 0 0 1779.59 1779.59 295.17 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   1374.42  1779.59 295.17 2699.1
