Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 2 0 19.21 109.21 19.21 0
#1 service 6 0 112.81 202.81 22.81 0
#1 service 1 0 208.65 298.65 28.65 0
#1 service 3 0 301.81 391.81 31.81 0
#1 service 5 0 394.04 484.04 34.04 0
#1 service 9 0 512.22 602.22 62.22 0
#1 service 7 0 632.64 722.64 92.64 0
#1 service 4 0 725.64 815.64 95.64 0
#1 service 8 0 835.74 925.74 115.74 58.74
#1 service 10 0 951.98 1041.98 141.98 0
#1 finish 0 0 1057.8 1057.8 157.8 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1057.8 157.8 58.74
