Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 25 107.68 6.32 124.0 6.32 0
#1 service 11 0 144.88 154.88 27.21 0
#1 service 1 0 166.92 176.92 39.25 0
#1 service 13 0 190.52 200.52 52.85 0
#1 service 12 0 209.13 219.13 61.45 0
#1 service 5 8.39 227.61 246.0 69.94 0
#1 service 22 0 270.02 280.02 93.96 0
#1 service 10 65.84 294.16 370.0 108.1 0
#1 service 2 0 378.94 388.94 117.04 0
#1 service 9 0 399.14 409.14 127.24 0
#1 service 6 0 413.38 423.38 131.48 0
#1 service 21 0 442.17 452.17 150.27 0
#1 service 19 0 467.98 477.98 166.08 0
#1 service 14 101.95 486.05 598.0 174.15 0
#1 service 4 0 608.0 618.0 184.15 277.0
#1 service 3 55.93 625.07 691.0 191.22 0
#1 service 24 0 708.89 718.89 209.11 408.89
#1 service 16 0 726.17 736.17 216.39 196.17
#1 service 23 0 749.32 759.32 229.54 0
#1 service 20 22.32 794.68 827.0 264.89 0
#1 service 18 0 830.61 840.61 268.5 91.61
#1 service 7 0 855.47 865.47 283.37 163.47
#1 service 15 0 887.49 897.49 305.39 0
#1 service 8 0 917.42 927.42 325.31 116.42
#1 service 17 0 936.64 946.64 334.53 202.64
#1 finish 0 0 969.44 969.44 357.34 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   362.11  969.44 357.34 1456.19
