Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 334.27 33.73 378.0 33.73 0
#1 service 4 103.53 399.47 513.0 55.21 0
#1 service 8 0 513.0 523.0 55.21 0
#1 service 11 0 523.0 533.0 55.21 0
#1 service 7 0 533.0 543.0 55.21 0
#1 service 12 0 543.0 553.0 55.21 0
#1 service 10 0 553.0 563.0 55.21 0
#1 service 6 0 563.0 573.0 55.21 0
#1 service 3 0 573.0 583.0 55.21 4.0
#1 service 9 0 583.0 593.0 55.21 14.0
#1 service 5 0 593.0 603.0 55.21 24.0
#1 service 2 0 742.09 752.09 194.29 52.09
#1 finish 0 0 846.85 846.85 289.05 42.85
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   437.79  846.85 289.05 136.94
