Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 65.06 62.94 218.0 62.94 0
#1 service 9 0 243.02 333.02 87.96 0
#1 service 5 0 353.02 443.02 107.96 0
#1 service 11 0 485.0 575.0 149.93 45.0
#1 service 6 72.93 582.07 745.0 157.0 0
#1 service 7 3.59 746.41 840.0 158.42 0
#1 service 8 0 881.04 971.04 199.45 364.04
#1 service 4 0 1006.39 1096.39 234.81 0
#1 service 3 0 1121.13 1211.13 259.55 547.13
#1 service 2 0 1230.24 1320.24 278.65 407.24
#1 service 1 0 1322.24 1412.24 280.65 584.24
#1 service 12 0 1477.24 1567.24 345.66 851.24
#1 finish 0 0 1604.01 1604.01 382.43 253.01
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   141.58  1604.01 382.43 3051.89
