Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 4 0 30.81 120.81 30.81 0
#1 service 2 0 126.19 216.19 36.19 0
#1 service 5 0 218.19 308.19 38.19 0
#1 service 7 0 311.8 401.8 41.8 0
#1 service 9 0 405.4 495.4 45.4 0
#1 service 8 0 497.4 587.4 47.4 0
#1 service 6 0 592.4 682.4 52.4 0
#1 service 3 0 687.4 777.4 57.4 0
#1 service 1 0 782.4 872.4 62.4 0
#1 service 10 0 886.54 976.54 76.54 0
#1 finish 0 0 997.16 997.16 97.16 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  997.16 97.16 0
