Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 18.97 18.03 47.0 18.03 0
#1 service 8 0 54.07 64.07 25.1 0
#1 service 7 0 70.78 80.78 31.81 0
#1 service 3 0 87.99 97.99 39.02 8.99
#1 service 1 0 111.41 121.41 52.43 0
#1 service 2 0 128.62 138.62 59.65 0
#1 service 4 0 144.94 154.94 65.97 0
#1 service 5 0 159.41 169.41 70.44 17.41
#1 service 10 0 180.18 190.18 81.21 92.18
#1 service 6 0 198.73 208.73 89.76 42.73
#1 finish 0 0 213.73 213.73 94.76 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   18.97  213.73 94.76 161.32
