Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 6 0 33.3 123.3 33.3 0
#1 service 8 0 126.3 216.3 36.3 0
#1 service 9 0 221.3 311.3 41.3 0
#1 service 7 0 318.37 408.37 48.37 0
#1 service 4 0 413.37 503.37 53.37 0
#1 service 2 0 538.37 628.37 88.37 0
#1 service 5 0 633.37 723.37 93.37 0
#1 service 3 0 726.37 816.37 96.37 0
#1 service 1 0 839.7 929.7 119.7 0
#1 service 10 0 933.3 1023.3 123.3 151.3
#1 finish 0 0 1041.41 1041.41 141.41 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1041.41 141.41 151.3
