Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 465.38 99.62 575.0 99.62 0
#1 service 10 0 590.56 600.56 115.18 0
#1 service 5 0 604.16 614.16 118.79 0
#1 service 2 0 644.53 654.53 149.15 0
#1 service 1 0.47 658.53 669.0 153.15 0
#1 service 4 0 695.48 705.48 179.63 0
#1 service 3 0 730.48 740.48 204.63 32.48
#1 service 11 0 754.37 764.37 218.52 111.37
#1 service 6 0 778.3 788.3 232.45 62.3
#1 service 12 0 804.58 814.58 248.73 198.58
#1 service 8 0 822.19 832.19 256.34 216.19
#1 service 7 0 869.35 879.35 293.5 120.35
#1 finish 0 0 911.56 911.56 325.71 107.56
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   465.85  911.56 325.71 848.82
