Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 0 117.48 127.48 117.48 0
#1 service 12 0 183.56 193.56 173.56 0
#1 service 1 0 235.33 245.33 215.33 0
#1 service 3 0 251.16 261.16 221.16 0
#1 service 4 0 265.4 275.4 225.4 0
#1 service 2 0 276.82 286.82 226.82 0
#1 service 5 0 292.65 302.65 232.65 0
#1 service 9 0 330.51 340.51 260.51 0
#1 service 11 0 352.21 362.21 272.21 0
#1 service 7 0 401.87 411.87 311.87 0
#1 service 6 0 421.72 431.72 321.72 0
#1 service 8 0 451.65 461.65 341.65 0
#1 finish 0 0 601.65 601.65 481.65 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  601.65 481.65 0
