Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 0 12.04 22.04 12.04 0
#1 service 10 0 51.2 61.2 41.2 0
#1 service 8 0 74.0 84.0 54.0 0
#1 service 9 0 91.07 101.07 61.07 0
#1 service 5 14.46 118.54 143.0 78.54 0
#1 service 4 0 165.02 175.02 100.56 0
#1 service 7 0 185.07 195.07 110.61 0
#1 service 6 0 200.07 210.07 115.61 0
#1 service 3 0 215.73 225.73 121.27 3.73
#1 service 2 0 235.78 245.78 131.32 13.78
#1 finish 0 0 253.4 253.4 138.93 13.4
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   14.46  253.4 138.93 30.9
