Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 0 18.68 108.68 18.68 0
#1 service 8 0 110.68 200.68 20.68 0
#1 service 10 0 216.49 306.49 36.49 0
#1 service 1 0 326.34 416.34 56.34 0
#1 service 2 0 419.34 509.34 59.34 0
#1 service 3 0 511.34 601.34 61.34 0
#1 service 4 0 604.34 694.34 64.34 0
#1 service 7 216.66 699.34 1006.0 69.34 0
#1 service 5 0 1013.07 1103.07 76.41 0
#1 service 6 0 1105.07 1195.07 78.41 0
#1 finish 0 0 1207.88 1207.88 91.22 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   216.66  1207.88 91.22 0
