Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 0 80.96 170.96 80.96 0
#1 service 3 0 176.34 266.34 86.34 0
#1 service 10 0 283.83 373.83 103.83 0
#1 service 11 0 383.68 473.68 113.68 0
#1 service 12 0 476.85 566.85 116.85 0
#1 service 9 0 573.25 663.25 123.25 0
#1 service 8 0 672.74 762.74 132.74 0
#1 service 7 0 764.15 854.15 134.15 0
#1 service 5 0 858.62 948.62 138.62 0
#1 service 6 0 950.86 1040.86 140.86 0
#1 service 4 0 1045.96 1135.96 145.96 0
#1 service 2 0 1139.12 1229.12 149.12 0
#1 finish 0 0 1310.13 1310.13 230.13 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1310.13 230.13 0
