Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 0 27.46 37.46 27.46 0
#1 service 2 0 52.76 62.76 42.76 0
#1 service 3 0 67.76 77.76 47.76 4.76
#1 service 6 0 79.76 89.76 49.76 0
#1 service 7 0 95.59 105.59 55.59 0
#1 service 1 0 110.59 120.59 60.59 37.59
#1 service 9 16.41 122.59 149.0 62.59 0
#1 service 5 0 152.61 162.61 66.19 0
#1 service 4 0 166.21 176.21 69.8 61.21
#1 service 8 0 182.61 192.61 76.2 60.61
#1 finish 0 0 223.42 223.42 107.01 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   16.41  223.42 107.01 164.17
