Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 6 0 25.0 35.0 25.0 0
#1 service 5 0 42.07 52.07 32.07 0
#1 service 2 0 61.13 71.13 41.13 0
#1 service 4 0 82.83 92.83 52.83 0
#1 service 7 0 99.16 109.16 59.16 0
#1 service 10 0 122.19 132.19 72.19 0
#1 service 8 0 150.3 160.3 90.3 0
#1 service 3 0 170.94 180.94 100.94 0
#1 service 1 0 192.12 202.12 112.12 21.12
#1 service 9 0 223.33 233.33 133.33 51.33
#1 finish 0 0 271.41 271.41 171.41 31.41
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  271.41 171.41 103.85
