Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 7 0 71.78 81.78 71.78 0
#1 service 2 223.19 101.81 335.0 91.81 0
#1 service 1 0 381.32 391.32 138.13 0
#1 service 5 0 426.44 436.44 173.25 231.44
#1 service 9 0 510.36 520.36 247.17 189.36
#1 service 4 0 590.98 600.98 317.79 47.98
#1 service 3 0 613.78 623.78 330.59 77.78
#1 service 11 0 689.16 699.16 395.97 359.16
#1 service 6 0 707.16 717.16 403.97 279.16
#1 service 12 0 773.52 783.52 460.33 367.52
#1 service 8 0 925.57 935.57 602.38 537.57
#1 service 10 0 959.74 969.74 626.54 584.74
#1 finish 0 0 1063.93 1063.93 720.74 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   223.19  1063.93 720.74 2674.71
