Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 12 0 51.04 141.04 51.04 0
#1 service 11 0 147.36 237.36 57.36 0
#1 service 10 0 240.19 330.19 60.19 0
#1 service 6 0 340.82 430.82 70.82 0
#1 service 8 0 441.26 531.26 81.26 0
#1 service 4 0 553.35 643.35 103.35 0
#1 service 5 0 646.52 736.52 106.52 0
#1 service 7 0 742.92 832.92 112.92 0
#1 service 3 0 841.4 931.4 121.4 0
#1 service 2 0 935.65 1025.65 125.65 0
#1 service 1 0 1044.03 1134.03 144.03 0
#1 service 9 0 1168.21 1258.21 178.21 0
#1 finish 0 0 1321.72 1321.72 241.72 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1321.72 241.72 0
