Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 11 0 93.94 183.94 93.94 0
#1 service 10 0 186.77 276.77 96.77 0
#1 service 7 0 279.6 369.6 99.6 0
#1 service 6 28.83 396.17 515.0 126.17 0
#1 service 9 0 520.66 610.66 131.83 0
#1 service 4 0 633.13 723.13 154.3 0
#1 service 5 94.81 731.19 916.0 162.36 0
#1 service 1 0 920.47 1010.47 166.83 0
#1 service 3 0 1015.47 1105.47 171.83 0
#1 service 2 0 1109.08 1199.08 175.44 0
#1 service 8 0 1227.68 1317.68 204.04 0
#1 finish 0 0 1422.87 1422.87 309.23 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   123.64  1422.87 309.23 0
