Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 0 287.92 377.92 287.92 0
#1 service 4 126.82 535.18 752.0 445.18 0
#1 service 2 0 853.04 943.04 546.23 0
#1 service 3 0 972.06 1062.06 575.24 0.06
#1 service 5 0 1084.27 1174.27 597.45 320.27
#1 service 7 0 1219.61 1309.61 642.79 376.61
#1 service 6 0 1317.61 1407.61 650.79 388.61
#1 service 8 0 1502.44 1592.44 745.62 295.44
#1 service 11 0 1634.87 1724.87 788.05 168.87
#1 service 9 0 1734.09 1824.09 797.27 259.09
#1 service 10 0 1828.09 1918.09 801.27 351.09
#1 service 12 0 1921.69 2011.69 804.87 444.69
#1 finish 0 0 2268.69 2268.69 1061.87 444.69
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   126.82  2268.69 1061.87 3049.41
